AccidentType,Date,Time,Reason
perturbation,2018/11/13,17:31:34,Passenger reason
perturbation,2018/11/13,8:25:57,Passenger reason
perturbation,2018/11/12,9:23:31,there is no reason
perturbation,2018/11/10,9:13:31,Technique reason
perturbation,2018/11/10,6:07:38,Weather reason
perturbation,2018/11/9,20:59:30,Techique reason
perturbation,2018/11/8,17:48:23,Passenger reason
perturbation,2018/11/7,18:49:17,Passenger reason
perturbation,2018/11/7,16:27:51,Passenger reason
perturbation,2018/11/7,8:04:07,Passenger reason
perturbation,2018/11/3,18:02:36,Passenger reason
perturbation,2018/10/31,17:14:43,Techique reason
perturbation,2018/10/31,16:17:46,Techique reason
perturbation,2018/10/31,8:58:14,Techique reason
perturbation,2018/10/28,16:06:41,Passenger reason
perturbation,2018/10/28,6:49:38,Techique reason
perturbation,2018/10/25,12:09:33,Techique reason
perturbation,2018/10/24,10:08:48,Passenger reason
perturbation,2018/10/24,9:57:33,Passenger reason
perturbation,2018/10/23,8:11:23,Techique reason
perturbation,2018/10/22,18:51:23,Passenger reason
perturbation,2018/10/22,18:08:09,Techique reason
perturbation,2018/10/16,19:09:02,Passenger reason
perturbation,2018/10/13,16:32:39,Technique reason
perturbation,2018/10/12,11:13:51,Techique reason
perturbation,2018/10/12,7:45:15,Technique reason
perturbation,2018/10/11,17:28:59,Techique reason
perturbation,2018/10/8,4:14:43,Track construction
perturbation,2018/10/6,18:01:43,Passenger reason
perturbation,2018/10/6,8:50:49,Passenger reason
perturbation,2018/10/5,14:25:18,Passenger reason
perturbation,2018/10/5,7:23:06,Passenger reason
perturbation,2018/10/5,7:13:00,Passenger reason
perturbation,2018/10/4,16:39:46,Technique reason
perturbation,2018/10/4,3:30:14,Track construction
perturbation,2018/10/3,13:55:35,Technique reason
perturbation,2018/10/3,10:46:37,Passenger reason
perturbation,2018/10/3,6:16:39,Technique reason
perturbation,2018/10/3,4:33:33,Technique reason
perturbation,2018/10/2,16:56:29,Techique reason
perturbation,2018/10/2,16:53:52,Techique reason
perturbation,2018/10/1,5:59:49,there is no reason
perturbation,2018/9/28,11:08:49,Techique reason
perturbation,2018/9/28,10:44:39,Techique reason
perturbation,2018/9/25,16:47:27,Techique reason
perturbation,2018/9/25,6:05:45,Technique reason
perturbation,2018/9/24,6:46:36,there is no reason
